Lemma,Sense,SuperSense,POS_Tag,Definition,Head,HeadAmod,Gender,Examples
johannes_brahms,brahms.n.01,noun.person,n,German composer who developed the romantic style of both lyrical and classical music (1833-1897),composer,,,[]
johannes_diderik_van_der_waals,van_der_waals.n.01,noun.person,n,Dutch physicist (1837-1923),physicist,,,[]
johannes_eckhart,eckhart.n.01,noun.person,n,German Roman Catholic theologian and mystic (1260-1327),theologian,,,[]
johannes_evangelista_purkinje,purkinje.n.01,noun.person,n,Bohemian physiologist remembered for his discovery of Purkinje cells and the Purkinje network (1787-1869),remembered,,,[]
johannes_gutenberg,gutenberg.n.01,noun.person,n,German printer who was the first in Europe to print using movable type and the first to use a press (1400-1468),printer,,,[]
johannes_kepler,kepler.n.01,noun.person,n,German astronomer who first stated laws of planetary motion (1571-1630),astronomer,,,[]
johannes_peter_muller,muller.n.03,noun.person,n,German physiologist and anatomist (1801-1858),physiologist,,,[]
johannes_van_der_waals,van_der_waals.n.01,noun.person,n,Dutch physicist (1837-1923),physicist,,,[]
johannes_vilhelm_jensen,jensen.n.01,noun.person,n,modernistic Danish writer (1873-1950),writer,,,[]
john,john.n.02,noun.person,n,youngest son of Henry II; King of England from 1199 to 1216; succeeded to the throne on the death of his brother Richard I; lost his French possessions; in 1215 John was compelled by the barons to sign the Magna Carta (1167-1216),succeeded,,,[]
john,john.n.03,noun.person,n,(New Testament) disciple of Jesus; traditionally said to be the author of the 4th Gospel and three epistles and the book of Revelation,Testament,,,[]
john,whoremaster.n.01,noun.person,n,a prostitute's customer,customer,,,[]
john_adams,adams.n.03,noun.person,n,2nd President of the United States (1735-1826),President,,,[]
john_addington_symonds,symonds.n.01,noun.person,n,English writer (1840-1893),writer,,,[]
john_amos_comenius,comenius.n.01,noun.person,n,Czech educational reformer (1592-1670),reformer,,,[]
john_anthony_ciardi,ciardi.n.01,noun.person,n,United States poet and critic (1916-1986),poet,,,[]
john_augustus_roebling,roebling.n.01,noun.person,n,United States engineer (born in Germany) who designed and began construction of the Brooklyn bridge (1806-1869),engineer,,,[]
john_bach_mcmaster,mcmaster.n.01,noun.person,n,United States historian who wrote a nine volume history of the people of the United States (1852-1932),historian,,,[]
john_bardeen,bardeen.n.01,noun.person,n,United States physicist who won the Nobel prize for physics twice (1908-1991),physicist,,,[]
john_barrington_wain,wain.n.01,noun.person,n,English writer (1925-1994),writer,,,[]
john_barrymore,barrymore.n.01,noun.person,n,United States actor; son of Maurice Barrymore and Georgiana Barrymore (1882-1942),actor,,,[]
john_barth,barth.n.02,noun.person,n,United States novelist (born in 1930),novelist,,,[]
john_bartlett,bartlett.n.02,noun.person,n,United States publisher and editor who compiled a book of familiar quotations (1820-1905),publisher,,,[]
john_bernoulli,bernoulli.n.02,noun.person,n,Swiss mathematician (1667-1748),mathematician,,,[]
john_berry_hobbs,hobbs.n.01,noun.person,n,notable English cricketer (1882-1963),cricketer,,,[]
john_birks_gillespie,gillespie.n.01,noun.person,n,United States jazz trumpeter and exponent of bebop (1917-1993),trumpeter,,,[]
john_broadus_watson,watson.n.02,noun.person,n,United States psychologist considered the founder of behavioristic psychology (1878-1958),considered,,,[]
john_brown,brown.n.03,noun.person,n,"abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)",abolitionist,,,[]
john_bull,limey.n.01,noun.person,n,a man of English descent,man,,M,[]
john_bunyan,bunyan.n.01,noun.person,n,"English preacher and author of an allegorical novel, Pilgrim's Progress (1628-1688)",preacher,,,[]
john_burdon_sanderson_haldane,haldane.n.01,noun.person,n,Scottish geneticist (son of John Haldane) who contributed to the development of population genetics; a popularizer of science and a Marxist (1892-1964),geneticist,,,[]
john_burgoyne,burgoyne.n.01,noun.person,n,British general in the American Revolution who captured Fort Ticonderoga but lost the battle of Saratoga in 1777 (1722-1792),general,,,[]
john_c._fremont,fremont.n.01,noun.person,n,United States explorer who mapped much of the American west and Northwest (1813-1890),explorer,,,[]
john_cabot,cabot.n.02,noun.person,n,Italian explorer who led the English expedition in 1497 that discovered the mainland of North America and explored the coast from Nova Scotia to Newfoundland (ca. 1450-1498),explorer,,,[]
john_cage,cage.n.03,noun.person,n,United States composer of avant-garde music (1912-1992),composer,,,[]
john_calvin,calvin.n.02,noun.person,n,Swiss theologian (born in France) whose tenets (predestination and the irresistibility of grace and justification by faith) defined Presbyterianism (1509-1564),theologian,,,[]
john_cash,cash.n.03,noun.person,n,United States country music singer and songwriter (1932-2003),States,,,[]
john_chapman,chapman.n.01,noun.person,n,United States pioneer who planted apple trees as he traveled (1774-1845),pioneer,,,[]
john_charles_fremont,fremont.n.01,noun.person,n,United States explorer who mapped much of the American west and Northwest (1813-1890),explorer,,,[]
john_cheever,cheever.n.01,noun.person,n,United States writer of novels and short stories (1912-1982),writer,,,[]
john_chrysostom,john_chrysostom.n.01,noun.person,n,(Roman Catholic Church) a Church Father who was a great preacher and bishop of Constantinople; a saint and Doctor of the Church (347-407),Church,,,[]
john_churchill,churchill.n.01,noun.person,n,English general considered one of the greatest generals in history (1650-1722),general,,,[]
john_ciardi,ciardi.n.01,noun.person,n,United States poet and critic (1916-1986),poet,,,[]
john_constable,constable.n.02,noun.person,n,English landscape painter (1776-1837),painter,,,[]
john_copley,copley.n.01,noun.person,n,American painter who did portraits of Paul Revere and John Hancock before fleeing to England to avoid the American Revolution (1738-1815),painter,,,[]
john_cowper_powys,powys.n.03,noun.person,n,British writer of novels about nature; one of three literary brothers (1872-1963),writer,,,[]
john_d._rockefeller,rockefeller.n.01,noun.person,n,United States industrialist who made a fortune in the oil business and gave half of it away (1839-1937),industrialist,,,[]
john_dalton,dalton.n.01,noun.person,n,English chemist and physicist who formulated atomic theory and the law of partial pressures; gave the first description of red-green color blindness (1766-1844),gave,,,[]
john_davis,davys.n.01,noun.person,n,English navigator who explored the Arctic while searching for the Northwest Passage (1550-1605),navigator,,,[]
john_davison_rockefeller,rockefeller.n.01,noun.person,n,United States industrialist who made a fortune in the oil business and gave half of it away (1839-1937),industrialist,,,[]
john_davys,davys.n.01,noun.person,n,English navigator who explored the Arctic while searching for the Northwest Passage (1550-1605),navigator,,,[]
john_deere,deere.n.01,noun.person,n,United States industrialist who manufactured plows suitable for working the prairie soil (1804-1886),industrialist,,,[]
john_dewey,dewey.n.03,noun.person,n,United States pragmatic philosopher who advocated progressive education (1859-1952),philosopher,,,[]
john_doe,john_doe.n.01,noun.person,n,a hypothetical average man,man,,M,[]
john_doe,john_doe.n.02,noun.person,n,an unknown or fictitious man who is a party to legal proceedings,man,,M,[]
john_donald_budge,budge.n.01,noun.person,n,United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000),player,,,[]
john_donne,donne.n.01,noun.person,n,English clergyman and metaphysical poet celebrated as a preacher (1572-1631),celebrated,,,[]
john_dos_passos,dos_passos.n.01,noun.person,n,United States novelist remembered for his portrayal of life in the United States (1896-1970),remembered,,,[]
john_dowland,dowland.n.01,noun.person,n,English lutenist and composer of songs for the lute (1563-1626),lutenist,,,[]
john_drew,drew.n.01,noun.person,n,United States actor (born in Ireland); father of Georgiana Emma Barrymore (1827-1862),actor,,,[]
john_dryden,dryden.n.01,noun.person,n,the outstanding poet and dramatist of the Restoration (1631-1700),poet,,,[]
john_duns_scotus,duns_scotus.n.01,noun.person,n,Scottish theologian who was very influential in the Middle Ages (1265-1308),theologian,,,[]
john_eccles,eccles.n.01,noun.person,n,Australian physiologist noted for his research on the conduction of impulses by nerve cells (1903-1997),noted,,,[]
john_edgar_hoover,hoover.n.02,noun.person,n,United States lawyer who was director of the FBI for 48 years (1895-1972),lawyer,,,[]
john_edward_masefield,masefield.n.01,noun.person,n,English poet (1878-1967),poet,,,[]
john_endecott,endecott.n.01,noun.person,n,born in England; in 1629 he became the founder of the Massachusetts Bay Colony (1588-1665),born,,,[]
john_endicott,endecott.n.01,noun.person,n,born in England; in 1629 he became the founder of the Massachusetts Bay Colony (1588-1665),born,,,[]
john_ernst_steinbeck,steinbeck.n.01,noun.person,n,United States writer noted for his novels about agricultural workers (1902-1968),noted,,,[]
john_fitzgerald_kennedy,kennedy.n.01,noun.person,n,35th President of the United States; established the Peace Corps; assassinated in Dallas (1917-1963),President,,,[]
john_fletcher,fletcher.n.01,noun.person,n,prolific English dramatist who collaborated with Francis Beaumont and many other dramatists (1579-1625),dramatist,,,[]
john_florio,florio.n.01,noun.person,n,English lexicographer remembered for his Italian and English dictionary (1553-1625),remembered,,,[]
john_ford,ford.n.01,noun.person,n,United States film maker (1896-1973),maker,,,[]
john_foster_dulles,dulles.n.01,noun.person,n,United States diplomat who (as Secretary of State) pursued a policy of opposition to the USSR by providing aid to American allies (1888-1959),diplomat,,,[]
john_galbraith,galbraith.n.01,noun.person,n,United States economist (born in Canada) who served as ambassador to India (born in 1908),economist,,,[]
john_galsworthy,galsworthy.n.01,noun.person,n,English novelist (1867-1933),novelist,,,[]
john_glenn,glenn.n.01,noun.person,n,made the first orbital rocket-powered flight by a United States astronaut in 1962; later in United States Senate (1921-),made,,,[]
john_greenleaf_whittier,whittier.n.01,noun.person,n,United States poet best known for his nostalgic poems about New England (1807-1892),known,,,[]
john_griffith_chaney,london.n.02,noun.person,n,United States writer of novels based on experiences in the Klondike gold rush (1876-1916),writer,,,[]
john_haldane,haldane.n.02,noun.person,n,Scottish physiologist and brother of Richard Haldane and Elizabeth Haldane; noted for research into industrial diseases (1860-1936),physiologist,,,[]
john_hancock,hancock.n.01,noun.person,n,American revolutionary patriot who was president of the Continental Congress; was the first signer of the Declaration of Independence (1737-1793),signer,,,[]
john_hanning_speke,speke.n.01,noun.person,n,English explorer who with Sir Richard Burton was the first European to explore Lake Tanganyika; he also discovered Lake Victoria and named it (1827-1864),explorer,,,[]
john_harvard,harvard.n.02,noun.person,n,American philanthropist who left his library and half his estate to the Massachusetts college that now bears his name (1607-1638),philanthropist,,,[]
john_hasbrouck_van_vleck,van_vleck.n.01,noun.person,n,United States physicist (1899-1980),physicist,,,[]
john_heming,heming.n.01,noun.person,n,English actor who edited the first folio of Shakespeare's plays (1556-1630),actor,,,[]
john_hemminge,heming.n.01,noun.person,n,English actor who edited the first folio of Shakespeare's plays (1556-1630),actor,,,[]
john_henry,john_henry.n.01,noun.person,n,hero of American folk tales; portrayed as an enormously strong black man who worked on the railroads and died from exhaustion after winning a contest with a steam drill,hero,,,[]
john_henry_newman,newman.n.02,noun.person,n,English prelate and theologian who (with John Keble and Edward Pusey) founded the Oxford movement; Newman later turned to Roman Catholicism and became a cardinal (1801-1890),prelate,,,[]
john_henry_o'hara,o'hara.n.01,noun.person,n,United States writer (1905-1970),writer,,,[]
john_herschel,herschel.n.01,noun.person,n,English astronomer (son of William Herschel) who extended the catalogue of stars to the southern hemisphere and did pioneering work in photography (1792-1871),astronomer,,,[]
john_herschel_glenn_jr.,glenn.n.01,noun.person,n,made the first orbital rocket-powered flight by a United States astronaut in 1962; later in United States Senate (1921-),made,,,[]
john_hope_franklin,franklin.n.01,noun.person,n,United States historian noted for studies of Black American history (born in 1915),noted,,,[]
john_howard_northrop,northrop.n.01,noun.person,n,United States biochemist (1891-1987),biochemist,,,[]
john_hoyer_updike,updike.n.01,noun.person,n,United States author (born 1932),author,,,[]
john_huss,huss.n.01,noun.person,n,Czechoslovakian religious reformer who anticipated the Reformation; he questioned the infallibility of the Catholic Church was excommunicated (1409) for attacking the corruption of the clergy; he was burned at the stake (1372-1415),reformer,,,[]
john_huston,huston.n.01,noun.person,n,United States film maker born in the United States but an Irish citizen after 1964 (1906-1987),born,,,[]
john_irving,irving.n.02,noun.person,n,United States writer of darkly humorous novels (born in 1942),writer,,,[]
john_jacob_astor,astor.n.02,noun.person,n,United States capitalist (born in Germany) who made a fortune in fur trading (1763-1848),capitalist,,,[]
john_james_audubon,audubon.n.01,noun.person,n,United States ornithologist and artist (born in Haiti) noted for his paintings of birds of America (1785-1851),noted,,,[]
john_james_osborne,osborne.n.01,noun.person,n,English playwright (1929-1994),playwright,,,[]
john_james_rickard_macleod,macleod.n.01,noun.person,n,Scottish physiologist who directed the research by F. G. Banting and C. H. Best that led to the discovery of insulin (1876-1935),physiologist,,,[]
john_jay,jay.n.01,noun.person,n,United States diplomat and jurist who negotiated peace treaties with Britain and served as the first chief justice of the United States Supreme Court (1745-1829),diplomat,,,[]
john_joseph_mcgraw,mcgraw.n.01,noun.person,n,United States baseball player and manager (1873-1934),player,,,[]
john_joseph_pershing,pershing.n.01,noun.person,n,United States general who commanded the American forces in Europe during World War I (1860-1948),general,,,[]
john_keats,keats.n.01,noun.person,n,Englishman and romantic poet (1795-1821),Englishman,,,[]
john_keble,keble.n.01,noun.person,n,English clergyman who (with John Henry Newman and Edward Pusey) founded the Oxford movement (1792-1866),clergyman,,,[]
john_kenneth_galbraith,galbraith.n.01,noun.person,n,United States economist (born in Canada) who served as ambassador to India (born in 1908),economist,,,[]
john_knox,knox.n.01,noun.person,n,Scottish theologian who founded Presbyterianism in Scotland and wrote a history of the Reformation in Scotland (1514-1572),theologian,,,[]
john_l._h._down,down.n.03,noun.person,n,English physician who first described Down's syndrome (1828-1896),physician,,,[]
john_l._lewis,lewis.n.04,noun.person,n,United States labor leader who was president of the United Mine Workers of America from 1920 to 1960 and president of the Congress of Industrial Organizations from 1935 to 1940 (1880-1969),leader,,,[]
john_lackland,john.n.02,noun.person,n,youngest son of Henry II; King of England from 1199 to 1216; succeeded to the throne on the death of his brother Richard I; lost his French possessions; in 1215 John was compelled by the barons to sign the Magna Carta (1167-1216),succeeded,,,[]
john_le_carre,le_carre.n.01,noun.person,n,English writer of novels of espionage (born in 1931),writer,,,[]
john_lennon,lennon.n.01,noun.person,n,English rock star and guitarist and songwriter who with Paul McCartney wrote most of the music for the Beatles (1940-1980),star,,,[]
john_llewelly_lewis,lewis.n.04,noun.person,n,United States labor leader who was president of the United Mine Workers of America from 1920 to 1960 and president of the Congress of Industrial Organizations from 1935 to 1940 (1880-1969),leader,,,[]
john_locke,locke.n.01,noun.person,n,English empiricist philosopher who believed that all knowledge is derived from sensory experience (1632-1704),philosopher,,,[]
john_luther_jones,jones.n.02,noun.person,n,United States railroad engineer who died trying to stop his train from crashing into another train; a friend wrote a famous ballad describing the incident (1864-1900),engineer,,,[]
john_lyly,lyly.n.01,noun.person,n,English writer noted for his elaborate style (1554-1606),noted,,,[]
john_m._browning,browning.n.01,noun.person,n,United States inventor of firearms (especially automatic pistols and repeating rifles and a machine gun called the Peacemaker) (1855-1926),States,,,[]
john_macleod,macleod.n.01,noun.person,n,Scottish physiologist who directed the research by F. G. Banting and C. H. Best that led to the discovery of insulin (1876-1935),physiologist,,,[]
john_major,major.n.02,noun.person,n,British statesman who was prime minister from 1990 until 1997 (born in 1943),statesman,,M,[]
john_marquand,marquand.n.01,noun.person,n,United States writer who created the Japanese detective Mr. Moto and wrote other novels as well (1893-1960),writer,,,[]
john_marshall,marshall.n.03,noun.person,n,United States jurist; as chief justice of the Supreme Court he established the principles of United States constitutional law (1755-1835),jurist,,,[]
john_marstan,marstan.n.01,noun.person,n,English playwright (1575-1634),playwright,,,[]
john_masefield,masefield.n.01,noun.person,n,English poet (1878-1967),poet,,,[]
john_maynard_keynes,keynes.n.01,noun.person,n,English economist who advocated the use of government monetary and fiscal policy to maintain full employment without inflation (1883-1946),economist,,,[]
john_mccormick,mccormick.n.02,noun.person,n,United States operatic tenor (born in Ireland) (1884-1945),tenor,,M,[]
john_mcgraw,mcgraw.n.01,noun.person,n,United States baseball player and manager (1873-1934),player,,,[]
john_mercer,mercer.n.02,noun.person,n,British maker of printed calico cloth who invented mercerizing (1791-1866),maker,,,[]
john_merven_carrere,carrere.n.01,noun.person,n,United States architect who with his partner Thomas Hastings designed many important public buildings (1858-1911),architect,,,[]
john_mill,mill.n.03,noun.person,n,English philosopher and economist remembered for his interpretations of empiricism and utilitarianism (1806-1873),remembered,,,[]
john_millington_synge,synge.n.01,noun.person,n,Irish poet and playwright whose plays are based on rural Irish life (1871-1909),poet,,,[]
john_milton,milton.n.01,noun.person,n,English poet; remembered primarily as the author of an epic poem describing humanity's fall from grace (1608-1674),poet,,,[]
john_milton_cage_jr.,cage.n.03,noun.person,n,United States composer of avant-garde music (1912-1992),composer,,,[]
john_mitchell,mitchell.n.05,noun.person,n,United States labor leader; president of the United Mine Workers of America from 1898 to 1908 (1870-1919),leader,,,[]
john_moses_browning,browning.n.01,noun.person,n,United States inventor of firearms (especially automatic pistols and repeating rifles and a machine gun called the Peacemaker) (1855-1926),States,,,[]
john_muir,muir.n.01,noun.person,n,United States naturalist (born in England) who advocated the creation of national parks (1838-1914),naturalist,,,[]
john_napier,napier.n.01,noun.person,n,Scottish mathematician who invented logarithms; introduced the use of the decimal point in writing numbers (1550-1617),introduced,,,[]
john_of_gaunt,john_of_gaunt.n.01,noun.person,n,the fourth son of Edward III who was the effective ruler of England during the close of his father's reign and during the minority of Richard II; his son was Henry Bolingbroke (1340-1399),son,,M,[]
john_orley_allen_tate,tate.n.01,noun.person,n,United States poet and critic (1899-1979),poet,,,[]
john_osborne,osborne.n.01,noun.person,n,English playwright (1929-1994),playwright,,,[]
john_paul_i,john_paul_i.n.01,noun.person,n,the first Pope to assume a double name; he reigned for only 34 days (1912-1978),assume,,,[]
john_paul_ii,john_paul_ii.n.01,noun.person,n,the first Pope born in Poland; the first Pope not born in Italy in 450 years (1920-2005),born,,,[]
john_paul_jones,jones.n.04,noun.person,n,American naval commander in the American Revolution (1747-1792),commander,,,[]
john_philip_marquand,marquand.n.01,noun.person,n,United States writer who created the Japanese detective Mr. Moto and wrote other novels as well (1893-1960),writer,,,[]
john_philip_sousa,sousa.n.01,noun.person,n,a United States bandmaster and composer of military marches (1854-1932),bandmaster,,,[]
john_pierpont_morgan,morgan.n.05,noun.person,n,United States financier and philanthropist (1837-1913),financier,,,[]
john_quincy_adams,adams.n.02,noun.person,n,6th President of the United States; son of John Adams (1767-1848),President,,,[]
john_r._major,major.n.02,noun.person,n,British statesman who was prime minister from 1990 until 1997 (born in 1943),statesman,,M,[]
john_reed,reed.n.02,noun.person,n,United States journalist who reported on the October Revolution from Petrograd in 1917; founded the Communist Labor Party in America in 1919; is buried in the Kremlin in Moscow (1887-1920),founded,,,[]
john_robinson_jeffers,jeffers.n.01,noun.person,n,United States poet who wrote about California (1887-1962),poet,,,[]
john_rock,rock.n.03,noun.person,n,United States gynecologist and devout Catholic who conducted the first clinical trials of the oral contraceptive pill (1890-1984),gynecologist,,,[]
john_roderigo_dos_passos,dos_passos.n.01,noun.person,n,United States novelist remembered for his portrayal of life in the United States (1896-1970),remembered,,,[]
john_roebling,roebling.n.01,noun.person,n,United States engineer (born in Germany) who designed and began construction of the Brooklyn bridge (1806-1869),engineer,,,[]
john_ronald_reuel_tolkien,tolkien.n.01,noun.person,n,British philologist and writer of fantasies (born in South Africa) (1892-1973),philologist,,,[]
john_ross,ross.n.01,noun.person,n,Scottish explorer who led Arctic expeditions that yielded geographic discoveries while searching for the Northwest Passage (1777-1856),explorer,,,[]
john_rowlands,stanley.n.02,noun.person,n,Welsh journalist and explorer who led an expedition to Africa in search of David Livingstone and found him in Tanzania in 1871; he and Livingstone together tried to find the source of the Nile River (1841-1904),journalist,,,[]
john_roy_major,major.n.02,noun.person,n,British statesman who was prime minister from 1990 until 1997 (born in 1943),statesman,,M,[]
john_rupert_firth,firth.n.01,noun.person,n,English linguist who contributed to linguistic semantics and to prosodic phonology and who was noted for his insistence on studying both sound and meaning in context (1890-1960),linguist,,,[]
john_ruskin,ruskin.n.01,noun.person,n,British art critic (1819-1900),critic,,,[]
john_rutledge,rutledge.n.01,noun.person,n,United States jurist and second chief justice of the United States Supreme Court; he was appointed by George Washington and briefly served as chief justice but was ultimately rejected by the United States Senate (1739-1800),States,,,[]
john_scopes,scopes.n.01,noun.person,n,Tennessee highschool teacher who violated a state law by teaching evolution; in a highly publicized trial in 1925 he was prosecuted by William Jennings Bryan and defended by Clarence Darrow (1900-1970),teacher,,,[]
john_scott_haldane,haldane.n.02,noun.person,n,Scottish physiologist and brother of Richard Haldane and Elizabeth Haldane; noted for research into industrial diseases (1860-1936),physiologist,,,[]
john_simmons_barth,barth.n.02,noun.person,n,United States novelist (born in 1930),novelist,,,[]
john_singer_sargent,sargent.n.01,noun.person,n,United States painter (born in Italy) known for his society portraits (1856-1925),known,,,[]
john_singleton_copley,copley.n.01,noun.person,n,American painter who did portraits of Paul Revere and John Hancock before fleeing to England to avoid the American Revolution (1738-1815),painter,,,[]
john_smith,smith.n.07,noun.person,n,"English explorer who helped found the colony at Jamestown, Virginia; was said to have been saved by Pocahontas (1580-1631)",said,,,[]
john_speke,speke.n.01,noun.person,n,English explorer who with Sir Richard Burton was the first European to explore Lake Tanganyika; he also discovered Lake Victoria and named it (1827-1864),explorer,,,[]
john_steinbeck,steinbeck.n.01,noun.person,n,United States writer noted for his novels about agricultural workers (1902-1968),noted,,,[]
john_stuart_mill,mill.n.03,noun.person,n,English philosopher and economist remembered for his interpretations of empiricism and utilitarianism (1806-1873),remembered,,,[]
john_the_baptist,john_the_baptist.n.01,noun.person,n,(New Testament) a preacher and hermit and forerunner of Jesus (whom he baptized); was beheaded by Herod at the request of Salome,Testament,,,[]
john_the_divine,john.n.03,noun.person,n,(New Testament) disciple of Jesus; traditionally said to be the author of the 4th Gospel and three epistles and the book of Revelation,Testament,,,[]
john_the_evangelist,john.n.03,noun.person,n,(New Testament) disciple of Jesus; traditionally said to be the author of the 4th Gospel and three epistles and the book of Revelation,Testament,,,[]
john_thomas_scopes,scopes.n.01,noun.person,n,Tennessee highschool teacher who violated a state law by teaching evolution; in a highly publicized trial in 1925 he was prosecuted by William Jennings Bryan and defended by Clarence Darrow (1900-1970),teacher,,,[]
john_tradescant,tradescant.n.01,noun.person,n,English botanist who was one of the first to collect specimens of plants (1570-1638),botanist,,,[]
john_trumbull,trumbull.n.02,noun.person,n,American painter of historical scenes (1756-1843),painter,,,[]
john_trumbull,trumbull.n.03,noun.person,n,American satirical poet (1750-1831),poet,,,[]
john_tuzo_wilson,wilson.n.05,noun.person,n,Canadian geophysicist who was a pioneer in the study of plate tectonics (1908-1993),geophysicist,,,[]
john_tyler,tyler.n.01,noun.person,n,elected vice president and became the 10th President of the United States when Harrison died (1790-1862),became,,,[]
john_tyndall,tyndall.n.01,noun.person,n,British physicist (born in Ireland) remembered for his experiments on the transparency of gases and the absorption of radiant heat by gases and the transmission of sound through the atmosphere; he was the first person to explain why the daylight sky is blue (1820-1893),remembered,,,[]
john_uhler,lemmon.n.01,noun.person,n,United States film actor (1925-2001),actor,,,[]
john_updike,updike.n.01,noun.person,n,United States author (born 1932),author,,,[]
john_van_vleck,van_vleck.n.01,noun.person,n,United States physicist (1899-1980),physicist,,,[]
john_vanbrugh,vanbrugh.n.01,noun.person,n,English architect (1664-1726),architect,,,[]
john_venn,venn.n.01,noun.person,n,English logician who introduced Venn diagrams (1834-1923),logician,,,[]
john_von_neumann,von_neumann.n.01,noun.person,n,United States mathematician who contributed to the development of atom bombs and of stored-program digital computers (1903-1957),mathematician,,,[]
john_wain,wain.n.01,noun.person,n,English writer (1925-1994),writer,,,[]
john_walker,walker.n.01,noun.person,n,New Zealand runner who in 1975 became the first person to run a mile in less that 3 minutes and 50 seconds (born in 1952),runner,,,[]
john_wanamaker,wanamaker.n.01,noun.person,n,United States businessman whose business grew into one of the first department stores (1838-1922),grew,,,[]
john_wayne,wayne.n.01,noun.person,n,United States film actor who played tough heroes (1907-1979),actor,,,[]
john_webster,webster.n.01,noun.person,n,English playwright (1580-1625),playwright,,,[]
john_wesley,wesley.n.02,noun.person,n,English clergyman and founder of Methodism (1703-1791),clergyman,,,[]
john_wickliffe,wycliffe.n.01,noun.person,n,English theologian whose objections to Roman Catholic doctrine anticipated the Protestant Reformation (1328-1384),theologian,,,[]
john_wiclif,wycliffe.n.01,noun.person,n,English theologian whose objections to Roman Catholic doctrine anticipated the Protestant Reformation (1328-1384),theologian,,,[]
john_wilkes,wilkes.n.01,noun.person,n,English reformer who published attacks on George III and supported the rights of the American colonists (1727-1797),reformer,,,[]
john_wilkes_booth,booth.n.03,noun.person,n,United States actor and assassin of President Lincoln (1838-1865),actor,,,[]
john_william_strutt,rayleigh.n.01,noun.person,n,English physicist who studied the density of gases and discovered argon; made important contributions to acoustic theory (1842-1919),physicist,,,[]
john_witherspoon,witherspoon.n.01,noun.person,n,American Revolutionary leader and educator (born in Scotland) who signed of the Declaration of Independence and was president of the college that became Princeton University (1723-1794),leader,,,[]
john_wyclif,wycliffe.n.01,noun.person,n,English theologian whose objections to Roman Catholic doctrine anticipated the Protestant Reformation (1328-1384),theologian,,,[]
john_wycliffe,wycliffe.n.01,noun.person,n,English theologian whose objections to Roman Catholic doctrine anticipated the Protestant Reformation (1328-1384),theologian,,,[]
john_xxiii,john_xxiii.n.01,noun.person,n,Italian pope from 1958 to 1963 who convoked the Second Vatican Council (1881-1963),pope,,,[]
johnny,rebel.n.01,noun.person,n,`Johnny' was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback' derived from their grey Confederate uniforms,applied,,,[]
johnny_appleseed,chapman.n.01,noun.person,n,United States pioneer who planted apple trees as he traveled (1774-1845),pioneer,,,[]
johnny_cash,cash.n.03,noun.person,n,United States country music singer and songwriter (1932-2003),States,,,[]
johnny_reb,rebel.n.01,noun.person,n,`Johnny' was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback' derived from their grey Confederate uniforms,applied,,,[]
johns,johns.n.01,noun.person,n,United States artist and proponent of pop art (born in 1930),artist,,,[]
johns,john.n.02,noun.person,n,youngest son of Henry II; King of England from 1199 to 1216; succeeded to the throne on the death of his brother Richard I; lost his French possessions; in 1215 John was compelled by the barons to sign the Magna Carta (1167-1216),succeeded,,,[]
johns,john.n.03,noun.person,n,(New Testament) disciple of Jesus; traditionally said to be the author of the 4th Gospel and three epistles and the book of Revelation,Testament,,,[]
johns,whoremaster.n.01,noun.person,n,a prostitute's customer,customer,,,[]
johns_hopkins,hopkins.n.02,noun.person,n,United States financier and philanthropist who left money to found the university and hospital that bear his name in Baltimore (1795-1873),financier,,,[]
johnson,johnson.n.01,noun.person,n,English writer and lexicographer (1709-1784),writer,,,[]
johnson,johnson.n.02,noun.person,n,36th President of the United States; was elected vice president and succeeded Kennedy when Kennedy was assassinated (1908-1973),elected,,,[]
johnson,johnson.n.03,noun.person,n,17th President of the United States; was elected vice president and succeeded Lincoln when Lincoln was assassinated; was impeached but acquitted by one vote (1808-1875),elected,,,[]
johnston,johnston.n.01,noun.person,n,Confederate general in the American Civil War; led the Confederate troops in the West (1807-1891),general,,,[]
joiner,joiner.n.01,noun.person,n,a person who likes to join groups,person,,,[]
joiner,joiner.n.02,noun.person,n,a woodworker whose work involves making things by joining pieces of wood,woodworker,,,[]
joint_author,coauthor.n.01,noun.person,n,a writer who collaborates with others in writing something,writer,,,[]
joker,joker.n.01,noun.person,n,a person who enjoys telling or playing jokes,person,,,[]
joker,joker.n.02,noun.person,n,a person who does something thoughtless or annoying,person,,,['some joker is blocking the driveway']
jokester,joker.n.01,noun.person,n,a person who enjoys telling or playing jokes,person,,,[]
joliet,jolliet.n.01,noun.person,n,French explorer (with Jacques Marquette) of the upper Mississippi River valley (1645-1700),explorer,,,[]
joliot,joliot.n.01,noun.person,n,French nuclear physicist who was Marie Curie's assistant and who worked with Marie Curie's daughter who he married (taking the name Joliot-Curie); he and his wife discovered how to synthesize new radioactive elements (1900-1958),physicist,,,[]
joliot-curie,joliot-curie.n.01,noun.person,n,French physicist who (with her husband) synthesized new chemical elements (1897-1956),physicist,,,[]
